Tortilleria Sinaloa	Fells Point	1716 Eastern	0.7 miles	There's a lot of good Mexican food on Eastern Ave., but this is one of the best. Stop by for a tamale for lunch.	$	*
Darbar	Fells Point	1911 Aliceanna	0.7 miles	Fells Point’s only Indian restaurant. Good for large groups at lunch or dinner.	$$	
John Steven, Ltd	Fells Point	1800 Thames	0.7 miles	Small bar with decent food. Just on the edge of Fells Point rowdiness.	$$	
Daily Grind	Fells Point	1720 Thames	0.7 miles	Morning coffee or a quick lunch; free wifi and plenty of space to work	$	
Five Guys	Inner Harbor	201 E Pratt	0.7 miles		$	
Cheesecake Factory	Inner Harbor	201 E Pratt	0.7 miles		$$	
Ale Mary’s	Fells Point	1939 Fleet	0.8 miles	Worth the walk! Small bar/restaurant. Try the tater tots and Chicken Chesapeake.	$$	*
Red Star Bar and Grill	Fells Point	906 S Wolfe	0.8 miles	Very good bar food and nice, historic building. Worth the extra walk.	$$	
Spirits Tavern	Fells Point	1901 Bank	0.9 miles	Located in a former funeral home, Spirits is a real neighborhood gem. Come to meet some friendly locals.	N/A	*
Bubba Gump Shrimp Co.	Inner Harbor	301 Light	0.9 miles		$$	
Iggie's	Mt. Vernon	818 N Calvert	1.5 miles	Great thin-crust pizza, unconventional menu, BYOB. Local favorite!	$$	
Rusty Scupper	Federal Hill	402 Key	1.6 miles (land)		$$$	
Thai Arroy	Federal Hill	1019 Light	1.7 miles (land), 0.9 miles (water)	Great, no-frills Thai food (and it’s BYOB!). This restaurant is small and won’t be able to easily accommodate large groups.	$$	
Byblos	Federal Hill	1033 Light	1.7 miles (land), 0.9 miles (water)	Inexpensive lebanese food with the sweetest owners we’ve ever met. (And it’s BYOB!).	$	
Helmand	Mt. Vernon	806 N Charles	1.8 miles	Afghan cuisine, often listed amongst best restaurants in Baltimore. Owned by the brother of Afghan president Hamid Karzai.	$$$	
Stang of Siam	Mt. Vernon	1301 Calvert	1.8 miles	Thai restaurant with good food. Understanding of “spicy” randomized daily.	$$	
Cross Street Market	Federal Hill	1065 S Charles	1.8 miles (land), 1.0 miles (water)	Classic Baltimore city market. Buy some fresh flowers, produce, and burner phone before grabbing a beer, crabcakes, oysters, shrimp, and sushi from Nick's, on the west end of the market. Well-worth the trip around or across the harbor.	$	*
Mother's	Federal Hill	1113 S Charles	1.8 miles (land), 1.0 miles (water)	One of Baltimore’s staple bar/restaurants. Mother’s is huge but often full. It’s a great place to celebrate local sports teams’ wins, linger over weekend brunch, or grab a quick lunch or happy hour beer.	$$	
Brewer's Art	Mt. Vernon	1106 N Charles	1.9 miles	Great brewpub with a fantastic selection of beers. Brewer’s was voted America’s Best Bar 2008, and is the largest brewery in Baltimore. It features an upscale restaurant section as well as a divy basement.	$$	*
Red Maple	Mt. Vernon	930 N Charles	2.1 miles	Likely Baltimore’s second-best night club. Possibly Baltimore’s worst night club.	N/A	
Club Charles	Mt. Vernon	1724 N Charles	2.3 miles	Divy bar lit in gloomy pink. Rather awful drinks, but occasional trapeze performances.	N/A	
Little Havana	Federal Hill	1325 Key Highway	2.4 miles (land), 0.7 miles (water)	Take the water taxi across the harbor and enjoy cuban cuisine on the water. Good for large groups.	$$	
Joe Squared	Station North	133 W North	2.5 miles	Pizza and beer place, hosts local live music of varying quality on most nights. Build your own pizza from a wealth of delicious, partially roof-grown toppings.	$$	
